,headline,link,dates,source,topic,year,month
0,EU leaders strike deal on tougher 2030 climate target,https://www.reuters.com/article/eu-summit-climate-deal/eu-leaders-strike-deal-on-tougher-2030-climate-target-idUSKBN28L0O4,2020-12-11,Reuters,esg,2020,12
1,Explainer: Why green hydrogen is finally getting its day in the sun,https://www.reuters.com/article/us-energy-hydrogen-explainer/explainer-why-green-hydrogen-is-finally-getting-its-day-in-the-sun-idUSKBN28K3DA,2020-12-11,Reuters,esg,2020,12
2,Asset manager group aims for carbon neutral investments by 2050,https://www.reuters.com/article/us-climate-change-funds-pledge/asset-manager-group-aims-for-carbon-neutral-investments-by-2050-idUSKBN28L0EP,2020-12-11,Reuters,esg,2020,12
3,"EU leaders unblock 1.8 trillion euro budget, recovery fund, eye climate goals",https://www.reuters.com/article/us-eu-summit/eu-leaders-unblock-1-8-trillion-euro-budget-recovery-fund-eye-climate-goals-idUSKBN28J37L,2020-12-10,Reuters,esg,2020,12
4,Summit is moment of truth for budget impasse - Merkel,https://www.reuters.com/article/us-eu-summit-merkel/summit-is-moment-of-truth-for-budget-impasse-merkel-idUSKBN28K3GS,2020-12-10,Reuters,esg,2020,12
5,New U.S. clean energy trade group taps former Obama adviser as CEO,https://www.reuters.com/article/us-usa-renewable-energy-zichal/new-u-s-clean-energy-trade-group-taps-former-obama-adviser-as-ceo-idUSKBN28K388,2020-12-10,Reuters,esg,2020,12
6,Judge orders Texas energy regulator to halt exceptions to environmental rules,https://www.reuters.com/article/us-texas-energyregulator-order/judge-orders-texas-energy-regulator-to-halt-exceptions-to-environmental-rules-idUSKBN28K32Y,2020-12-10,Reuters,esg,2020,12
7,"With green battery standards, EU seeks a competitive edge",https://www.reuters.com/article/eu-batteries/with-green-battery-standards-eu-seeks-a-competitive-edge-idUSKBN28K1EW,2020-12-10,Reuters,esg,2020,12
8,United Airlines invests in carbon-capture project to be 100% green by 2050,https://www.reuters.com/article/united-arlns-climate-occidental/united-airlines-invests-in-carbon-capture-project-to-be-100-green-by-2050-idUSKBN28K1NE,2020-12-10,Reuters,esg,2020,12
9,Japan's government to use more green power from April,https://www.reuters.com/article/japan-energy-renewables/japans-government-to-use-more-green-power-from-april-idUSKBN28K13J,2020-12-10,Reuters,esg,2020,12
10,Steve Bannon hires Giuliani's lawyer to replace attorney who left after threat to Fauci,https://www.reuters.com/article/us-usa-trump-bannon/steve-bannon-hires-giulianis-lawyer-to-replace-attorney-who-left-after-threat-to-fauci-idUSKBN28L2KK,2020-12-10,Reuters,esg,2020,12
11,U.S. Senate backs $740 billion defense bill by veto-proof margin; voting continues,https://www.reuters.com/article/us-usa-defense-congress-vote/u-s-senate-backs-740-billion-defense-bill-by-veto-proof-margin-voting-continues-idUSKBN28L2H9,2020-12-10,Reuters,esg,2020,12
12,"U.S. House Democrat slams Trump trade policies, urges Biden to work with allies",https://www.reuters.com/article/us-usa-trade-china/u-s-house-democrat-slams-trump-trade-policies-urges-biden-to-work-with-allies-idUSKBN28L2DA,2020-12-09,Reuters,esg,2020,12
13,S.Korea's Moon urges citizens to support ambitious carbon neutrality goal,https://www.reuters.com/article/southkora-environment-moon/s-koreas-moon-urges-citizens-to-support-ambitious-carbon-neutrality-goal-idUSKBN28K1E8,2020-12-09,Reuters,esg,2020,12
14,Japan's ruling coalition calls for tax breaks on green investments,https://www.reuters.com/article/us-japan-economy-tax/japans-ruling-coalition-calls-for-tax-breaks-on-green-investments-idUSKBN28K0DB,2020-12-09,Reuters,esg,2020,12
15,World Bank boosts target for climate-friendly financing to 35% over five years,https://www.reuters.com/article/us-worldbank-climate/world-bank-boosts-target-for-climate-friendly-financing-to-35-over-five-years-idUSKBN28J33W,2020-12-09,Reuters,esg,2020,12
16,New York state pension fund sets 2040 goal of net zero carbon emissions,https://www.reuters.com/article/new-york-state-pension-fund-energy/new-york-state-pension-fund-sets-2040-goal-of-net-zero-carbon-emissions-idUSKBN28J223,2020-12-09,Reuters,esg,2020,12
17,EU planning sustainable fuel target to cut airline emissions,https://www.reuters.com/article/eu-transport-mobility/eu-planning-sustainable-fuel-target-to-cut-airline-emissions-idUSKBN28J1WY,2020-12-09,Reuters,esg,2020,12
18,"Who will spearhead Biden's climate, energy and agriculture policies?",https://www.reuters.com/article/usa-biden-energy/who-will-spearhead-bidens-climate-energy-and-agriculture-policies-idUSKBN28J2EA,2020-12-09,Reuters,esg,2020,12
19,"Norway's Equinor, Hydro and Scatec to build solar farm in Brazil",https://www.reuters.com/article/equinor-solar-scatec-norsk-hydro/norways-equinor-hydro-and-scatec-to-build-solar-farm-in-brazil-idUSKBN28J27U,2020-12-09,Reuters,esg,2020,12
