,headline,link,dates,source,topic,year,month
0,How do you avoid getting distracted and stay focused on the mission?,https://www.greenbiz.com/article/how-do-you-avoid-getting-distracted-and-stay-focused-mission,2020-12-07,GreenBiz,esg,2020,12
1,Why investor Green Century has taken an active interest in fighting deforestation,https://www.greenbiz.com/article/why-investor-green-century-has-taken-active-interest-fighting-deforestation,2020-12-02,GreenBiz,esg,2020,12
2,Introducing … GreenFin 21,https://www.greenbiz.com/article/introducing-greenfin-21,2020-11-30,GreenBiz,esg,2020,11
3,"Pressure on creatives: PR, advertising firms targeted by fossil fuel divestment movement",https://www.greenbiz.com/article/pressure-creatives-pr-advertising-firms-targeted-fossil-fuel-divestment-movement,2020-11-30,GreenBiz,esg,2020,11
4,The Federal Reserve’s new signals on climate change and risk,https://www.greenbiz.com/article/federal-reserves-new-signals-climate-change-and-risk,2020-11-30,GreenBiz,esg,2020,11
5,5 predictions for the corporate renewable energy market in 2021,https://www.greenbiz.com/article/5-predictions-corporate-renewable-energy-market-2021,2020-11-25,GreenBiz,esg,2020,11
6,Why investors are betting on biodiversity,https://www.greenbiz.com/article/why-investors-are-betting-biodiversity,2020-11-24,GreenBiz,esg,2020,11
7,"You say old coal plant, I say new green hydrogen facility",https://www.greenbiz.com/article/you-say-old-coal-plant-i-say-new-green-hydrogen-facility,2020-11-24,GreenBiz,esg,2020,11
8,Prince Charles urges businesses to appoint 'suitably empowered' CSOs,https://www.greenbiz.com/article/prince-charles-urges-businesses-appoint-suitably-empowered-csos,2020-11-24,GreenBiz,esg,2020,11
9,"Taking stock of Chase, HSBC, and Morgan Stanley's recent climate commitments",https://www.greenbiz.com/article/taking-stock-chase-hsbc-and-morgan-stanleys-recent-climate-commitments,2020-11-24,GreenBiz,esg,2020,11
10,4 tips for changing consumer behavior,https://www.greenbiz.com/article/4-tips-changing-consumer-behavior,2020-11-23,GreenBiz,esg,2020,11
11,5 ways the WTO can make investment easier and boost sustainable development,https://www.greenbiz.com/article/5-ways-wto-can-make-investment-easier-and-boost-sustainable-development,2020-11-23,GreenBiz,esg,2020,11
